c_dist,min_itr,elapsed_time,max_itr,m_steer,inter_sample,path_length,sampled_path_length
20,100000,20.8,1000000,4,30,518.01002262624,77
20,10000,1.3,100000,4,30,522.377301884955,71
20,1000,0.2,10000,4,30,512.04446568979,69
20,100,0.4,1000,4,30,522.435590024061,68
30,100000,20.1,1000000,4,30,514.933731100838,59
30,10000,1.2,100000,4,30,562.598510984157,59
30,1000,0.2,10000,4,30,570.599952604013,63
30,100,0.2,1000,4,30,592.89958859914,54
35,100000,18.1,1000000,4,30,520.192329077573,58
35,10000,1.2,100000,4,30,542.319376290778,52
35,1000,0.1,10000,4,30,554.864656337997,53
35,100,0.1,1000,4,30,546.006571868584,52
40,100000,19.7,1000000,4,30,509.03423930396,55
45,100000,18.6,1000000,4,30,536.257870650163,52
45,10000,1.2,100000,4,30,518.225204643852,46
45,1000,0.1,10000,4,30,562.836524769281,49
45,100,0,1000,4,30,521.826599995724,43
50,100000,17.5,1000000,4,30,534.664785750827,48
55,100000,20.2,1000000,4,30,528.369076177669,50
55,10000,1.2,100000,4,30,531.792887038569,46
55,1000,0.1,10000,4,30,537.778460244824,41
55,100,0.1,1000,4,30,566.739166378924,51
60,100000,18.3,1000000,4,30,525.265328727361,45
60,10000,1.1,100000,4,30,550.45341851397,48
60,1000,0.1,10000,4,30,632.776671368755,51
60,100,0.1,1000,4,30,551.367056288745,46
70,100000,21.4,1000000,4,30,532.144604598096,48
70,10000,1.1,100000,4,30,508.82836772281,41
70,1000,0.1,10000,4,30,533.779705373613,39
70,100,0,1000,4,30,557.131563880317,41
